[DEBUG | 2017-12-30 18:56:59,089] vote for self 
[DEBUG | 2017-12-30 18:56:59,554] vote for self 
[DEBUG | 2017-12-30 18:56:59,998] vote for self 
[DEBUG | 2017-12-30 18:57:00,407] vote for self 
[DEBUG | 2017-12-30 18:57:00,786] vote for self 
[DEBUG | 2017-12-30 18:57:01,272] vote for self 
[DEBUG | 2017-12-30 18:57:01,779] vote for self 
[DEBUG | 2017-12-30 18:57:02,222] vote for self 
[DEBUG | 2017-12-30 18:57:02,671] vote for self 
[DEBUG | 2017-12-30 18:57:03,186] vote for self 
[DEBUG | 2017-12-30 18:57:03,725] vote for self 
[DEBUG | 2017-12-30 18:57:04,181] vote for self 
[DEBUG | 2017-12-30 18:57:04,657] vote for self 
[DEBUG | 2017-12-30 18:57:05,186] vote for self 
[DEBUG | 2017-12-30 18:57:05,648] vote for self 
[DEBUG | 2017-12-30 18:57:06,139] vote for self 
[DEBUG | 2017-12-30 18:57:06,575] vote for self 
[DEBUG | 2017-12-30 18:57:07,018] vote for self 
[DEBUG | 2017-12-30 18:57:07,576] vote for self 
[DEBUG | 2017-12-30 18:57:08,083] vote for self 
[DEBUG | 2017-12-30 18:57:08,560] vote for self 
[DEBUG | 2017-12-30 18:57:08,963] vote for self 
[DEBUG | 2017-12-30 18:57:09,369] vote for self 
[DEBUG | 2017-12-30 18:57:09,772] vote for self 
[DEBUG | 2017-12-30 18:57:10,225] vote for self 
[DEBUG | 2017-12-30 18:57:10,731] vote for self 
[DEBUG | 2017-12-30 18:57:11,157] vote for self 
[DEBUG | 2017-12-30 18:57:11,546] vote for self 
[DEBUG | 2017-12-30 18:57:11,874] vote for self 
[DEBUG | 2017-12-30 18:57:12,217] vote for self 
[DEBUG | 2017-12-30 18:57:12,575] vote for self 
[DEBUG | 2017-12-30 18:57:12,902] vote for self 
[DEBUG | 2017-12-30 18:57:13,309] vote for self 
[DEBUG | 2017-12-30 18:57:13,812] vote for self 
[DEBUG | 2017-12-30 18:57:14,248] vote for self 
[DEBUG | 2017-12-30 18:57:14,636] vote for self 
[DEBUG | 2017-12-30 18:57:15,074] vote for self 
[DEBUG | 2017-12-30 18:57:15,466] vote for self 
[DEBUG | 2017-12-30 18:57:15,679] BackServer = 139.199.26.222 11001
[DEBUG | 2017-12-30 18:57:15,680] BackServer = 139.199.26.222 11002
[DEBUG | 2017-12-30 18:57:15,680] selfNginxName = localhost 9000
[DEBUG | 2017-12-30 18:57:15,682] DtbtNginx = localhost 9001
[DEBUG | 2017-12-30 18:57:15,683] DtbtNginx = localhost 9002
[DEBUG | 2017-12-30 18:57:15,684] lisCliName = localhost 11001
[DEBUG | 2017-12-30 18:57:15,688] AcceptNginx:19
[DEBUG | 2017-12-30 18:57:15,688] connect -> localhost 9001
[DEBUG | 2017-12-30 18:57:15,694] vote for localhost 9000
[DEBUG | 2017-12-30 18:57:15,694] recv a vote for me
[DEBUG | 2017-12-30 18:57:15,697] ACK to Follower
[DEBUG | 2017-12-30 18:57:15,697] AckVote2FollowerRcve
[DEBUG | 2017-12-30 18:57:21,639] client request send to child 0
[DEBUG | 2017-12-30 18:57:21,640] connect a client:  fd=16
[DEBUG | 2017-12-30 18:57:21,643] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:57:21,649] readIdx=424 startLen=424 contentLength=0
[DEBUG | 2017-12-30 18:57:21,651] ParseResponse success readSize=424 readIdx=0
[DEBUG | 2017-12-30 18:57:23,810] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:57:24,826] client request send to child 0
[DEBUG | 2017-12-30 18:57:24,828] connect a client:  fd=16
[DEBUG | 2017-12-30 18:57:24,833] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:57:24,835] readIdx=415 startLen=415 contentLength=0
[DEBUG | 2017-12-30 18:57:24,837] ParseResponse success readSize=415 readIdx=0
[DEBUG | 2017-12-30 18:57:26,994] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:57:51,168] client request send to child 0
[DEBUG | 2017-12-30 18:57:51,169] connect a client:  fd=16
[DEBUG | 2017-12-30 18:57:51,170] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:57:51,177] readIdx=424 startLen=424 contentLength=0
[DEBUG | 2017-12-30 18:57:51,180] ParseResponse success readSize=424 readIdx=0
[DEBUG | 2017-12-30 18:57:51,215] connect -> 139.199.26.222:11001 fd=21
[DEBUG | 2017-12-30 18:57:51,249] connect -> 139.199.26.222:11002 fd=22
[DEBUG | 2017-12-30 18:57:51,250] client -> server : 192.168.56.1 51632 -> 139.199.26.222 11002
[DEBUG | 2017-12-30 18:57:53,868] readIdx=64 startLen=64 contentLength=280
[DEBUG | 2017-12-30 18:57:53,869] readIdx=344 startLen=64 contentLength=280
[DEBUG | 2017-12-30 18:57:53,870] ParseResponse success readSize=344 readIdx=0
[DEBUG | 2017-12-30 18:57:53,871] response send to clifd=16 size=344
[DEBUG | 2017-12-30 18:57:54,889] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:57:54,891] readIdx=415 startLen=424 contentLength=0
[DEBUG | 2017-12-30 19:06:43,079] localhost 9000 lastActive=1514632003 activeInterval=6
[DEBUG | 2017-12-30 19:06:43,298] vote for self 
[DEBUG | 2017-12-30 19:06:43,300] localhost 9000 lastActive=0 activeInterval=6
[DEBUG | 2017-12-30 19:06:43,708] vote for self 
[DEBUG | 2017-12-30 19:06:44,176] vote for self 
[DEBUG | 2017-12-30 19:06:44,619] vote for self 
