[INFO | 2017-12-23 17:19:51,078] 客服端正常退出 fd=17
[INFO | 2017-12-23 17:19:51,080] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 17:20:24,225] 客服端正常退出 fd=16
[INFO | 2017-12-23 17:21:07,191] kill all the clild now
[INFO | 2017-12-23 17:21:08,833] kill all the clild now
[INFO | 2017-12-23 17:21:09,291] kill all the clild now
[INFO | 2017-12-23 17:21:09,514] kill all the clild now
[INFO | 2017-12-23 17:21:09,803] kill all the clild now
[INFO | 2017-12-23 17:21:10,979] child close 0
[INFO | 2017-12-23 17:21:12,110] kill all the clild now
[INFO | 2017-12-23 17:22:27,919] kill all the clild now
[INFO | 2017-12-23 17:22:28,695] kill all the clild now
[INFO | 2017-12-23 17:22:29,201] kill all the clild now
[INFO | 2017-12-23 17:22:29,460] kill all the clild now
[INFO | 2017-12-23 17:22:29,746] kill all the clild now
[INFO | 2017-12-23 17:22:33,109] child close 0
[INFO | 2017-12-23 17:42:38,828] localhost 9001not vote for localhost 9001
[INFO | 2017-12-23 17:42:39,253] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 17:42:39,252] become a Leader
[INFO | 2017-12-23 17:51:39,324] 客服端正常退出 fd=18
[INFO | 2017-12-23 17:51:39,326] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 17:52:11,761] 客服端正常退出 fd=17
[INFO | 2017-12-23 17:52:11,764] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 17:57:16,829] kill all the clild now
[INFO | 2017-12-23 17:57:18,940] kill all the clild now
[INFO | 2017-12-23 17:57:51,506] child close 0
[INFO | 2017-12-23 17:57:51,811] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 17:57:55,107] child close 0
[INFO | 2017-12-23 17:58:18,239] localhost 9001not vote for localhost 9001
[INFO | 2017-12-23 17:58:18,684] become a Leader
[INFO | 2017-12-23 17:58:18,687] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-23 17:58:33,504] kill all the clild now
[INFO | 2017-12-23 17:58:39,101] child close 0
[INFO | 2017-12-23 17:58:42,310] become a Leader
[INFO | 2017-12-23 17:58:42,311] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-23 18:01:58,354] kill all the clild now
[INFO | 2017-12-23 18:01:58,644] child close 0
[INFO | 2017-12-23 18:01:58,650] DtbtNginx : localhost 9000 close
[INFO | 2017-12-23 18:01:58,834] 发送失败
[INFO | 2017-12-23 18:02:01,441] kill all the clild now
[INFO | 2017-12-23 18:02:03,291] kill all the clild now
[INFO | 2017-12-23 18:02:17,154] child close 0
[INFO | 2017-12-23 18:27:01,332] become a Leader
[INFO | 2017-12-23 18:27:01,336] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 18:27:22,630] kill all the clild now
[INFO | 2017-12-23 18:27:24,693] child close 0
[INFO | 2017-12-23 18:29:22,424] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 18:29:22,422] localhost 9000 is survived
[INFO | 2017-12-23 18:29:22,846] kill all the clild now
[INFO | 2017-12-23 18:29:24,790] kill all the clild now
[INFO | 2017-12-23 18:29:25,074] kill all the clild now
[INFO | 2017-12-23 18:29:25,075] kill all the clild now
[INFO | 2017-12-23 18:29:25,160] kill all the clild now
[INFO | 2017-12-23 18:29:26,389] kill all the clild now
[INFO | 2017-12-23 18:29:27,307] kill all the clild now
[INFO | 2017-12-23 18:29:30,877] child close 0
[INFO | 2017-12-23 18:29:31,199] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 18:29:31,474] 发送失败
[INFO | 2017-12-23 18:29:33,301] become a Leader
[INFO | 2017-12-23 18:29:33,305] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 18:35:09,880] 客服端正常退出 fd=16
[INFO | 2017-12-23 18:48:01,464] kill all the clild now
[INFO | 2017-12-23 18:48:02,629] kill all the clild now
[INFO | 2017-12-23 18:48:03,576] child close 0
[INFO | 2017-12-23 18:48:03,778] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 18:48:04,049] 发送失败
[INFO | 2017-12-23 18:48:08,177] child close 0
[INFO | 2017-12-23 18:49:43,181] localhost 9001not vote for localhost 9001
[INFO | 2017-12-23 18:49:43,672] become a Leader
[INFO | 2017-12-23 18:49:43,673] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-23 18:49:53,051] kill all the clild now
[INFO | 2017-12-23 18:49:53,933] child close 0
[INFO | 2017-12-23 18:50:01,251] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-23 18:50:01,250] localhost 9001 is survived
