[INFO | 2017-12-08 20:04:52,820] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:53,277] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:53,734] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:54,189] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:54,652] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:55,105] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:55,558] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:56,013] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:56,466] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:56,483] kill all the clild now
[INFO | 2017-12-08 20:04:56,838] child close 0
[INFO | 2017-12-08 20:04:57,491] kill all the clild now
[INFO | 2017-12-08 20:04:57,632] child close 0
[INFO | 2017-12-08 20:05:02,065] 127.0.0.1 9002 is survived
[INFO | 2017-12-08 20:05:02,082] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 20:05:18,398] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:05:18,399] 127.0.0.1 9000 is survived
[INFO | 2017-12-08 20:05:18,407] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 20:06:35,145] kill all the clild now
[INFO | 2017-12-08 20:06:35,299] child close 0
[INFO | 2017-12-08 20:06:35,710] kill all the clild now
[INFO | 2017-12-08 20:06:35,970] child close 0
[INFO | 2017-12-08 20:06:36,179] kill all the clild now
[INFO | 2017-12-08 20:06:36,334] child close 0
[INFO | 2017-12-08 20:07:57,922] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 20:07:58,088] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 20:07:58,431] become a Leader
[INFO | 2017-12-08 20:07:58,431] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 20:08:39,949] 127.0.0.1 9002not vote for 127.0.0.1 9002
[INFO | 2017-12-08 20:08:39,952] 127.0.0.1 9002 is survived
[INFO | 2017-12-08 20:08:39,960] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 20:08:44,135] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:44,486] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:44,839] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:45,190] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:45,542] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:45,894] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:46,249] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:46,600] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:46,951] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:47,301] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:47,652] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:48,003] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:48,355] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:48,707] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:49,058] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:49,410] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:49,761] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:50,113] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:50,464] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:50,816] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:51,168] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:51,519] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:51,872] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:52,223] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:52,573] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:52,925] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:53,277] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:53,631] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:53,982] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:54,334] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:54,685] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:55,037] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:55,388] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:55,739] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:56,090] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:56,359] kill all the clild now
[INFO | 2017-12-08 20:08:56,535] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:08:56,661] child close 0
[INFO | 2017-12-08 20:09:12,756] kill all the clild now
[INFO | 2017-12-08 20:09:12,931] child close 0
[INFO | 2017-12-08 20:09:14,790] kill all the clild now
[INFO | 2017-12-08 20:09:14,935] child close 0
[INFO | 2017-12-08 20:19:57,621] become a Leader
[INFO | 2017-12-08 20:36:25,653] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 20:36:25,812] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 20:36:26,134] become a Leader
[INFO | 2017-12-08 20:36:26,136] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 20:36:35,753] kill all the clild now
[INFO | 2017-12-08 20:36:35,876] child close 0
[INFO | 2017-12-08 20:36:36,252] kill all the clild now
[INFO | 2017-12-08 20:36:36,380] child close 0
[INFO | 2017-12-08 21:01:09,335] cmd:1 len:18 readIdx:8
[INFO | 2017-12-08 21:01:09,341] cmd:2 len:18 readIdx:8
[INFO | 2017-12-08 21:01:09,349] cmd:3 len:18 readIdx:8
[INFO | 2017-12-08 21:01:09,355] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 21:01:09,351] become a Leader
[INFO | 2017-12-08 21:01:11,364] cmd:7 len:0 readIdx:8
[INFO | 2017-12-08 21:01:13,367] cmd:7 len:0 readIdx:8
[INFO | 2017-12-08 21:01:23,109] kill all the clild now
[INFO | 2017-12-08 21:01:23,239] child close 0
[INFO | 2017-12-08 21:01:25,045] cmd:1 len:18 readIdx:8
[INFO | 2017-12-08 21:01:25,048] 127.0.0.1 9000 is survived
[INFO | 2017-12-08 21:01:25,048] cmd:3 len:18 readIdx:8
[INFO | 2017-12-08 21:01:25,053] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 21:01:27,055] cmd:7 len:0 readIdx:8
[INFO | 2017-12-08 21:01:29,058] cmd:7 len:0 readIdx:8
[INFO | 2017-12-08 21:01:34,496] kill all the clild now
[INFO | 2017-12-08 21:01:34,619] child close 0
[INFO | 2017-12-08 21:01:56,862] cmd:1 len:18 readIdx:8
[INFO | 2017-12-08 21:01:56,864] 127.0.0.1 9000 is survived
[INFO | 2017-12-08 21:01:56,864] cmd:3 len:18 readIdx:8
[INFO | 2017-12-08 21:01:56,874] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 21:01:58,874] cmd:7 len:0 readIdx:8
[INFO | 2017-12-08 21:02:00,876] cmd:7 len:0 readIdx:8
[INFO | 2017-12-08 21:02:06,456] kill all the clild now
[INFO | 2017-12-08 21:02:06,578] child close 0
[INFO | 2017-12-08 21:02:37,555] cmd:1 len:18 readIdx:8
[INFO | 2017-12-08 21:02:37,558] 127.0.0.1 9002 is survived
[INFO | 2017-12-08 21:02:37,558] cmd:3 len:18 readIdx:8
[INFO | 2017-12-08 21:02:37,562] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 21:02:39,564] cmd:7 len:0 readIdx:8
[INFO | 2017-12-08 21:02:41,566] cmd:7 len:0 readIdx:8
[INFO | 2017-12-08 21:02:51,917] kill all the clild now
[INFO | 2017-12-08 21:02:52,044] child close 0
[INFO | 2017-12-08 21:07:02,281] cmd:1 len:18 readIdx:8
[INFO | 2017-12-08 21:07:02,312] 127.0.0.1 9000 is survived
[INFO | 2017-12-08 21:07:02,314] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 21:07:04,638] kill all the clild now
[INFO | 2017-12-08 21:07:05,331] child close 0
[INFO | 2017-12-08 21:07:07,819] kill all the clild now
[INFO | 2017-12-08 21:07:07,952] child close 0
[INFO | 2017-12-08 21:07:11,568] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 21:07:11,770] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 21:07:12,185] become a Leader
[INFO | 2017-12-08 21:07:12,189] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 21:07:23,457] kill all the clild now
[INFO | 2017-12-08 21:07:23,568] child close 0
[INFO | 2017-12-08 21:07:24,368] kill all the clild now
[INFO | 2017-12-08 21:07:24,479] child close 0
[INFO | 2017-12-08 21:09:28,425] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 21:09:28,622] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 21:09:29,024] become a Leader
[INFO | 2017-12-08 21:09:29,026] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 21:09:43,026] kill all the clild now
[INFO | 2017-12-08 21:09:43,159] child close 0
[INFO | 2017-12-08 21:09:43,954] kill all the clild now
[INFO | 2017-12-08 21:09:44,075] child close 0
[INFO | 2017-12-08 21:10:43,230] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 21:10:43,505] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 21:10:44,071] become a Leader
[INFO | 2017-12-08 21:10:44,075] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 21:10:57,806] 127.0.0.1 9002 is survived
[INFO | 2017-12-08 21:10:57,809] 127.0.0.1 9002not vote for 127.0.0.1 9002
[INFO | 2017-12-08 21:10:57,814] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 21:11:17,105] kill all the clild now
[INFO | 2017-12-08 21:11:17,308] child close 0
[INFO | 2017-12-08 21:11:19,573] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 21:11:19,849] become a Leader
[INFO | 2017-12-08 21:11:19,855] 127.0.0.1 9002 become a Leader, I am a follower
[INFO | 2017-12-08 21:11:45,102] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 21:11:45,105] 127.0.0.1 9001 is survived
[INFO | 2017-12-08 21:11:45,114] 127.0.0.1 9002 become a Leader, I am a follower
[INFO | 2017-12-08 21:11:58,451] kill all the clild now
[INFO | 2017-12-08 21:11:58,734] child close 0
[INFO | 2017-12-08 21:12:08,985] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 21:12:08,990] 127.0.0.1 9000 is survived
[INFO | 2017-12-08 21:12:09,001] 127.0.0.1 9002 become a Leader, I am a follower
[INFO | 2017-12-08 21:12:22,753] kill all the clild now
[INFO | 2017-12-08 21:12:22,899] child close 0
[INFO | 2017-12-08 21:12:25,124] 127.0.0.1 9001not vote for 127.0.0.1 9001
[INFO | 2017-12-08 21:12:25,436] become a Leader
[INFO | 2017-12-08 21:12:25,438] 127.0.0.1 9000 become a Leader, I am a follower
[INFO | 2017-12-08 21:12:48,001] kill all the clild now
[INFO | 2017-12-08 21:12:48,164] child close 0
[INFO | 2017-12-08 21:12:55,613] kill all the clild now
[INFO | 2017-12-08 21:12:55,769] child close 0
